index,experiment_num,sem_mean,sem_median,sem_std,summ1_mean,summ1_median,summ1_std,summ2_mean,summ2_median,summ2_std
8,064,20.53898635477583,16.0,14.23635345424238,10.716861598440547,9.0,6.00870880197568,7.6364522417154,7.0,3.5856037908915455
155,065,20.99707459775719,16.0,14.508063064271242,4.239882983910288,4.0,2.0041393228328577,1.9517308629936616,2.0,1.035049511113728
122,066,12.759832197168327,10.0,11.739923972161925,4.873099108547457,5.0,2.7838623912403193,2.930256948085999,3.0,1.2342872190821843
148,067,21.739766081871345,17.0,14.476751063323865,11.186647173489279,10.0,6.088711735340805,6.572612085769981,6.0,2.971191172990308
97,068,21.73635477582846,17.0,14.478693098613686,11.114522417153996,10.0,6.050578594813718,5.824561403508772,5.0,2.7468205196142224
10,069,20.569688109161792,16.0,14.216426908751446,10.817738791423002,9.0,6.07517646191365,8.181286549707602,7.0,3.8594619842857174
33,070,21.061921014139443,16.0,14.493751993341471,7.8941979522184305,7.0,4.265118930411191,3.0102389078498293,3.0,1.456823303636082
159,071,20.53898635477583,16.0,14.23635345424238,10.716861598440547,9.0,6.00870880197568,9.641812865497077,9.0,5.114283039428101
110,072,20.99707459775719,16.0,14.508063064271242,4.239882983910288,4.0,2.0041393228328577,2.7645051194539247,2.0,1.5275128793032133
144,073,12.759832197168327,10.0,11.739923972161925,4.873099108547457,5.0,2.7838623912403193,3.9202936549554273,4.0,1.8932536986486
151,074,21.739766081871345,17.0,14.476751063323865,11.186647173489279,10.0,6.088711735340805,9.407894736842104,8.0,4.64044039217
103,075,21.73635477582846,17.0,14.478693098613686,11.114522417153996,10.0,6.050578594813718,8.750974658869396,8.0,4.297434294630476
29,076,20.569688109161792,16.0,14.216426908751446,10.817738791423002,9.0,6.07517646191365,10.047270955165692,9.0,5.3012796959875335
54,077,21.061921014139443,16.0,14.493751993341471,7.8941979522184305,7.0,4.265118930411191,4.67235494880546,4.0,2.110348777739354
153,078,20.53898635477583,16.0,14.23635345424238,10.716861598440547,9.0,6.00870880197568,10.636939571150098,9.0,5.939173228241402
114,079,20.99707459775719,16.0,14.508063064271242,4.239882983910288,4.0,2.0041393228328577,4.168210628961482,4.0,1.9477275480588803
3,080,12.759832197168327,10.0,11.739923972161925,4.873099108547457,5.0,2.7838623912403193,4.797063450445727,5.0,2.677533080530667
26,081,21.739766081871345,17.0,14.476751063323865,11.186647173489279,10.0,6.088711735340805,10.939571150097466,10.0,5.9058312638378405
125,082,21.73635477582846,17.0,14.478693098613686,11.114522417153996,10.0,6.050578594813718,10.737816764132553,9.0,5.768614345502705
112,083,20.569688109161792,16.0,14.216426908751446,10.817738791423002,9.0,6.07517646191365,10.750487329434698,9.0,6.009672421171203
48,084,21.061921014139443,16.0,14.493751993341471,7.8941979522184305,7.0,4.265118930411191,6.962944904924427,7.0,3.342058939852925
121,085,21.80506822612086,17.0,14.461604156468105,3.597953216374269,3.0,1.53638011995504,1.0,1.0,0.0
84,086,21.80506822612086,17.0,14.461604156468105,3.7080896686159845,3.0,1.6381819297201146,1.1769005847953216,1.0,0.40401754220842884
133,087,21.80506822612086,17.0,14.461604156468105,3.580896686159844,3.0,1.5600402472176138,1.0974658869395713,1.0,0.29993240146263095
4,088,21.80506822612086,17.0,14.461604156468105,3.741228070175439,4.0,1.6543888566954414,1.0,1.0,0.0
